,Unnamed: 0,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,time_diff,isWillingToWalk,numberOfPassengers
36650,8833125,2016-03-10 14:13:17,2016-03-10 15:16:27,3,26554.11,-73.79080200195312,40.64638137817383,-73.97447967529298,40.75654602050781,63.16666666666666,1,2
36651,8833136,2016-03-10 14:13:19,2016-03-10 15:29:26,1,29129.054,-73.78184509277344,40.64474105834961,-73.98493957519531,40.760684967041016,76.11666666666666,1,2
36652,8833169,2016-03-10 14:13:33,2016-03-10 15:18:24,1,28485.318,-73.78263854980467,40.64462661743164,-73.98936462402342,40.756214141845696,64.85,0,2
36653,8833170,2016-03-10 14:13:33,2016-03-10 15:09:43,2,27197.846,-73.79010009765625,40.646873474121094,-73.97772979736328,40.75258255004883,56.16666666666666,1,2
36654,97162,2016-03-10 14:13:48,2016-03-10 15:32:01,4,29306.0814,-73.78180694580078,40.64487075805664,-73.98590087890625,40.759368896484375,78.21666666666667,0,2
36655,8833215,2016-03-10 14:13:50,2016-03-10 15:27:35,2,29129.054,-73.78965759277344,40.64372634887695,-73.98497009277344,40.7607536315918,73.75,0,1
36656,8833217,2016-03-10 14:13:51,2016-03-10 15:02:28,1,26232.242000000002,-73.79029846191406,40.646751403808594,-73.97420501708984,40.753265380859375,48.61666666666667,0,1
36657,97253,2016-03-10 14:14:15,2016-03-10 15:12:16,1,35936.562199999986,-73.78978729248048,40.64369583129883,-74.01484680175781,40.70968246459961,58.01666666666666,1,2
36658,8833331,2016-03-10 14:14:28,2016-03-10 15:11:41,1,35727.348,-73.78227233886719,40.64466857910156,-74.01533508300781,40.70962905883789,57.21666666666667,0,1
36659,8833337,2016-03-10 14:14:29,2016-03-10 15:01:09,2,28324.384,-73.79061889648438,40.64521026611328,-73.97505187988281,40.75615692138672,46.66666666666666,0,2
36660,97330,2016-03-10 14:14:40,2016-03-10 15:06:41,3,28356.5708,-73.78253173828125,40.644569396972656,-73.98326873779298,40.73973083496094,52.01666666666666,1,2
36661,8833376,2016-03-10 14:14:43,2016-03-10 15:12:57,1,28485.318,-73.7904281616211,40.64358139038085,-73.98939514160156,40.75778579711913,58.23333333333333,0,2
36662,97348,2016-03-10 14:14:50,2016-03-10 15:20:08,5,29177.3342,-73.77667236328125,40.645320892333984,-73.99384307861328,40.74576187133789,65.3,0,2
36663,97371,2016-03-10 14:14:58,2016-03-10 15:13:32,2,27439.247000000003,-73.78980255126955,40.64720153808594,-73.99215698242188,40.756019592285156,58.56666666666667,1,1
36664,8833431,2016-03-10 14:15:03,2016-03-10 15:11:36,1,27197.846,-73.78275299072266,40.64679336547852,-73.97251892089844,40.7537956237793,56.55,1,1
36665,8833469,2016-03-10 14:15:18,2016-03-10 15:19:08,2,28968.12,-73.79085540771484,40.64653396606445,-73.98584747314453,40.76134872436523,63.83333333333334,0,1
36666,97450,2016-03-10 14:15:22,2016-03-10 15:20:04,1,30319.9656,-73.79010772705078,40.64353942871094,-73.97197723388672,40.75828552246094,64.7,0,1
36667,97455,2016-03-10 14:15:23,2016-03-10 14:59:41,1,28292.197199999995,-73.78189849853516,40.64487075805664,-73.9680404663086,40.75125122070313,44.3,0,1
36668,97476,2016-03-10 14:15:29,2016-03-10 15:03:14,4,27246.1262,-73.79163360595702,40.644935607910156,-73.99009704589844,40.74380493164063,47.75,0,1
36669,97485,2016-03-10 14:15:33,2016-03-10 15:14:29,1,28066.8896,-73.77680969238281,40.64522171020508,-73.98858642578125,40.74837112426758,58.93333333333333,0,1
36670,8833518,2016-03-10 14:15:39,2016-03-10 15:10:25,1,28324.384,-73.7823257446289,40.64457321166992,-73.98938751220702,40.752662658691406,54.76666666666666,0,1
36671,8833545,2016-03-10 14:15:48,2016-03-10 15:23:31,1,30255.592,-73.78910064697266,40.647682189941406,-74.00365447998048,40.722747802734375,67.71666666666667,0,1
36672,8833561,2016-03-10 14:15:56,2016-03-10 15:02:17,1,27519.714,-73.78199768066406,40.64484024047852,-73.98125457763672,40.744140625,46.35,1,2
36673,97584,2016-03-10 14:16:01,2016-03-10 15:26:37,1,29772.79,-73.77666473388672,40.6453857421875,-73.99319458007811,40.75629806518555,70.6,0,2
36674,8833624,2016-03-10 14:16:22,2016-03-10 15:19:29,1,28485.318,-73.78987884521484,40.64391326904297,-73.98920440673827,40.7512321472168,63.11666666666667,0,2
36675,97711,2016-03-10 14:16:39,2016-03-10 15:20:26,1,27487.5272,-73.7906265258789,40.64524841308594,-73.98201751708984,40.75579071044922,63.78333333333333,0,2
36676,97740,2016-03-10 14:16:45,2016-03-10 15:10:38,2,34343.315599999994,-73.78983306884766,40.64721298217773,-73.97582244873048,40.76405715942383,53.88333333333333,0,1
36677,97762,2016-03-10 14:16:51,2016-03-10 15:16:25,4,27745.0216,-73.79048156738281,40.64399719238281,-73.98492431640625,40.7513427734375,59.56666666666667,0,1
36678,97786,2016-03-10 14:17:01,2016-03-10 15:07:35,5,29853.257,-73.78144073486328,40.6449089050293,-73.97823333740234,40.7294807434082,50.56666666666667,1,1
36679,8833754,2016-03-10 14:17:08,2016-03-10 15:18:48,2,27519.714,-73.77690887451173,40.6461181640625,-73.97470092773438,40.765079498291016,61.66666666666666,1,2
36680,97859,2016-03-10 14:17:22,2016-03-10 15:21:19,2,30947.6082,-73.7818374633789,40.644832611083984,-73.99095916748048,40.71656799316406,63.95,1,1
36681,8833797,2016-03-10 14:17:24,2016-03-10 15:28:55,1,28163.45,-73.79109191894531,40.6458396911621,-73.97515869140625,40.7652473449707,71.51666666666667,1,1
36682,97875,2016-03-10 14:17:29,2016-03-10 15:20:31,6,28388.7576,-73.78880310058595,40.64107894897461,-73.97045135498048,40.76163864135742,63.03333333333333,0,1
36683,8833844,2016-03-10 14:17:40,2016-03-10 15:20:45,1,33152.404,-73.78250122070312,40.64464950561523,-73.9742431640625,40.793251037597656,63.08333333333334,1,1
36684,8833845,2016-03-10 14:17:41,2016-03-10 15:11:37,1,28807.186,-73.78942108154298,40.6431884765625,-73.97195434570312,40.75495910644531,53.93333333333333,0,2
36685,8833854,2016-03-10 14:17:45,2016-03-10 15:23:14,2,28646.252,-73.78096008300781,40.64504623413085,-73.991455078125,40.75027847290039,65.48333333333333,0,1
36686,97927,2016-03-10 14:17:50,2016-03-10 15:18:15,5,28968.12,-73.79064178466798,40.64405059814453,-73.991943359375,40.7528190612793,60.41666666666666,1,1
36687,8833882,2016-03-10 14:17:55,2016-03-10 15:21:52,1,29450.922000000002,-73.77667236328125,40.64519119262695,-73.99610137939453,40.74349212646485,63.95,1,2
36688,8833922,2016-03-10 14:18:08,2016-03-10 15:31:31,2,32508.668,-73.77708435058595,40.646400451660156,-74.0053482055664,40.72092819213867,73.38333333333334,0,2
36689,98025,2016-03-10 14:18:18,2016-03-10 15:21:36,1,33747.8598,-73.79019165039062,40.64640426635742,-73.97784423828125,40.77698135375977,63.3,0,1
36690,8833954,2016-03-10 14:18:20,2016-03-10 15:13:15,1,34278.942,-73.78193664550781,40.64473342895508,-73.969482421875,40.76072311401367,54.91666666666666,1,1
36691,8833961,2016-03-10 14:18:22,2016-03-10 15:21:29,4,28807.186,-73.78197479248048,40.64475631713867,-73.99425506591797,40.7533073425293,63.11666666666667,0,2
36692,8833976,2016-03-10 14:18:29,2016-03-10 15:26:29,2,29611.856,-73.77677154541014,40.64585876464844,-73.98448181152342,40.7573471069336,68.0,1,1
36693,8833982,2016-03-10 14:18:32,2016-03-10 15:58:10,1,34278.942,-73.78176879882812,40.64481735229492,-73.98294067382812,40.75640487670898,99.63333333333334,0,1
36694,98095,2016-03-10 14:18:37,2016-03-10 15:04:54,1,28260.0104,-73.79032135009766,40.64396667480469,-73.9852066040039,40.74723815917969,46.28333333333333,1,2
36695,8834052,2016-03-10 14:18:58,2016-03-10 15:07:13,3,28163.45,-73.78209686279298,40.64472198486328,-73.98772430419923,40.747535705566406,48.25,0,1
