"destID","destLat","destLong","timeFromSrc","distFromSrc"
"DEST1350",40.79456202,-73.92280145,1392.651,27989.38
"DEST1351",40.81207929,-73.97430307,2219.178,41846.523
"DEST1352",40.81142212,-73.97256234,1663.831,31537.351000000002
"DEST1353",40.81076495,-73.9708216,1663.912,31539.895
"DEST1354",40.81010779,-73.96908087,1663.992,31542.439
"DEST1355",40.80945062,-73.96734014,1813.44,36095.811
"DEST1356",40.80879345,-73.9655994,1675.642,31181.217999999997
"DEST1357",40.80813629,-73.96385867,1668.2,30955.925
"DEST1358",40.80747912,-73.96211794,1631.095,30474.104
"DEST1359",40.80682195,-73.9603772,1638.237,30541.369
"DEST136",40.86538521,-73.90635743,1790.5,35326.615
"DEST1360",40.80616479,-73.95863647,1635.93,30570.767999999996
"DEST1361",40.80550762,-73.95689574,1627.837,30000.442000000003
"DEST1362",40.80485045,-73.955155,1608.126,29768.342999999997
"DEST1363",40.80419329,-73.95341427,1592.019,29574.142999999996
"DEST1364",40.80353612,-73.95167354,1592.682,29411.705
"DEST1365",40.80287895,-73.9499328,1558.904,29253.872000000003
"DEST1366",40.80222179,-73.94819207,1589.273,29086.016
"DEST1367",40.80156462,-73.94645134,1552.465,28922.422000000002
"DEST1368",40.80090745,-73.9447106,1519.753,28771.548
"DEST1369",40.80025029,-73.94296987,1478.871,28595.32
"DEST137",40.86472805,-73.9046167,1917.098,34167.302
"DEST1370",40.79959312,-73.94122914,1452.576,28384.632
"DEST1371",40.79893595,-73.9394884,1477.114,28288.212000000003
"DEST1372",40.79827879,-73.93774767,1439.986,28107.376
"DEST1373",40.79762162,-73.93600694,1443.243,28067.209
"DEST1374",40.79696445,-73.9342662,1411.548,28602.202999999998
"DEST1375",40.79630729,-73.93252547,1433.8,28815.421000000002
"DEST1376",40.79565012,-73.93078474,1404.158,28520.876
"DEST1377",40.79499295,-73.92904399999999,1515.315,31662.007999999998
"DEST1378",40.79433579,-73.92730327,1498.983,27816.371
"DEST1379",40.79367862,-73.92556254,1526.085,27951.886000000002
"DEST138",40.86407088,-73.90287596,1793.257,33362.466
"DEST1380",40.79302145,-73.9238218,1643.471,29252.895
"DEST1381",40.81053871,-73.97532343,2219.178,41846.523
"DEST1382",40.80988155,-73.97358270000001,1670.754,31756.576
"DEST1383",40.80922438,-73.97184196,1670.505,31748.677000000003
"DEST1384",40.80856721,-73.97010123,1670.255,31740.777000000002
"DEST1385",40.80791005,-73.9683605,1807.45,35906.133
"DEST1386",40.80725288,-73.96661976,1687.228,31371.548
"DEST1387",40.80659571,-73.96487903,1681.396,31072.445
"DEST1388",40.80593855,-73.9631383,1699.648,31312.153
"DEST1389",40.80528138,-73.96139756,1647.757,30717.571
"DEST139",40.86341371,-73.90113523,1714.209,32994.425
"DEST1390",40.80462421,-73.95965683,1646.13,30774.765
"DEST1391",40.80396705,-73.95791609999999,1646.446,30145.193
"DEST1392",40.80330988,-73.95617536,1620.613,29957.593999999997
"DEST1393",40.80265271,-73.95443463,1642.914,30146.272
"DEST1394",40.80199555,-73.9526939,1622.16,29629.357000000004
"DEST1395",40.80133838,-73.95095316,1573.512,29413.139
"DEST1396",40.80068121,-73.94921243,1607.221,29253.111
"DEST1397",40.80002405,-73.94747170000001,1570.407,29089.488999999998
"DEST1398",40.79936688,-73.94573096,1533.632,28926.039
"DEST1399",40.79870971,-73.94399023,1496.825,28762.452
"DEST14",40.87286183,-73.90575747,1787.232,36684.858
"DEST140",40.86275655,-73.8993945,1710.401,32897.448
"DEST1400",40.79805255,-73.9422495,1478.365,28598.479
"DEST1401",40.79739538,-73.94050876,1489.04,29001.923
